Device,Chip,Arch,iOS 15.0 v1,iOS 15.0,iOS 15.0.1,iOS 15.0.2,iOS 15.1,iOS 15.1.1,iOS 15.2,iOS 15.2.1,iOS 15.3,iOS 15.3.1,iOS 15.4,iOS 15.4.1,iOS 15.5,iOS 15.6,iOS 15.6.1,iOS 15.7,iOS 15.7.1,iOS 15.7.2,iOS 15.7.3,iOS 15.7.4,iOS 15.7.5,iOS 15.7.6,iOS 15.7.7,iOS 15.7.8,iOS 15.7.9,iOS 15.8,iOS 15.8.1,iOS 15.8.2,iOS 15.8.3
iPhone 13 Pro Max ,A15,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad 5,A9,,"palera1n, bakera1n, Dopamine",,"palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine",,"palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine","palera1n, bakera1n, Dopamine",,,,,,
iPad 6,A10,,"palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n"
iPad 7,A10,,"palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n"
iPad 8,A12,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad 9,A13,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Air 2,A8X,,"palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n"
iPad Air 3,A12,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Air 4,A14,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Air 5,M1,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Mini 4,A8,,"palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n",,"palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n","palera1n, bakera1n"
iPad Mini 5,A12,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Mini 6,A15,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Pro (9.7 inch),A9X,,"palera1n, bakera1n",,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Pro (10.5 inch),A10X,,"palera1n, bakera1n",,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (11 inch, 1st Gen)",A12X,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (11 inch, 2nd Gen)",A12Z,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (11 inch, 3rd Gen)",M1,,No JB,,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (12.9 inch, 1st Gen)",A9X,,No JB,,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (12.9 inch, 2nd Gen)",A10X,,No JB,,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (12.9 inch, 3rd Gen)",A12X,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (12.9 inch, 4th Gen)",A12Z,,"Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",,"Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore","Dopamine, Fugu15, TrollStore",No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
"iPad Pro (12.9 inch, 5th Gen)",M1,,No JB,,No JB,No JB,No JB,,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
