Device,Chip,Arch,iOS 15.0 v1,iOS 15.0,iOS 15.0.1,iOS 15.0.2,iOS 15.1,iOS 15.1.1,iOS 15.2,iOS 15.2.1,iOS 15.3,iOS 15.3.1,iOS 15.4,iOS 15.4.1,iOS 15.5,iOS 15.6,iOS 15.6.1,iOS 15.7,iOS 15.7.1,iOS 15.7.2,iOS 15.7.3,iOS 15.7.4,iOS 15.7.5,iOS 15.7.6,iOS 15.7.7,iOS 15.7.8,iOS 15.7.9,iOS 15.8,iOS 15.8.1,iOS 15.8.2,iOS 15.8.3
iPhone XS,A12,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone XS Max,A12,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone SE (2nd Gen),A13,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 11 Pro,A13,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 11 Pro Max,A13,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 12 mini,A14,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 12,A14,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 12 Pro,A14,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 12 Pro Max,A14,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone SE (3rd Gen),A15,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 13 mini,A15,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 13,A15,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 13 Pro,A15,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
