Device,Chip,iOS 12.0,iOS 12.0 v2,iOS 12.0.1,iOS 12.0.1 v2,iOS 12.1,iOS 12.1 v2,iOS 12.1 v3,iOS 12.1.1,iOS 12.1.2,iOS 12.1.2 v2,iOS 12.1.3,iOS 12.1.3 v2,iOS 12.1.4,iOS 12.2,iOS 12.3,iOS 12.3 v2,iOS 12.3.1,iOS 12.3.1 v2,iOS 12.3.2,iOS 12.4,iOS 12.4.1,iOS 12.4.2,iOS 12.4.3,iOS 12.4.4,iOS 12.4.5,iOS 12.4.6,iOS 12.4.7,iOS 12.4.8,iOS 12.4.9,iOS 12.5,iOS 12.5.1,iOS 12.5.2,iOS 12.5.3,iOS 12.5.4,iOS 12.5.5,iOS 12.5.6,iOS 12.5.7
iPad Air 2,A8X,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad Air 3,A12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unc0ver,unc0ver,N/A,unc0ver,N/A,N/A,unc0ver,unc0ver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad Pro (9.7 inch),A9X,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad Pro (10 inch),A10X,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"iPad Pro (11 inch, 1st Gen)",A12X,"Chimera, unc0ver",N/A,"Chimera, unc0ver",N/A,"Chimera, unc0ver",N/A,N/A,"Chimera, unc0ver",N/A,N/A,N/A,unc0ver,unc0ver,unc0ver,unc0ver,N/A,unc0ver,N/A,N/A,unc0ver,unc0ver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"iPad Pro (12.9 inch, 1st Gen)",A9X,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"iPad Pro (12.9 inch, 2nd Gen)",A10X,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"iPad Pro (12.9 inch, 3rd Gen)",A12X,"Chimera, unc0ver",N/A,"Chimera, unc0ver",N/A,"Chimera, unc0ver",N/A,N/A,"Chimera, unc0ver",N/A,N/A,N/A,unc0ver,unc0ver,unc0ver,unc0ver,N/A,unc0ver,N/A,N/A,unc0ver,unc0ver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad Mini 2,A7,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPad Mini 3,A8,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPad Mini 4,A8,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPad Mini 5,A12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unc0ver,unc0ver,N/A,unc0ver,N/A,N/A,unc0ver,unc0ver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
